Course,PreReq1,PreReq2
BNG103,,
BUS201,,
CSE110,,
CSE111,CSE110,
CSE220,CSE111,
CSE221,CSE220,
CSE230,,
CSE250,PHY112,
CSE251,CSE250,
CSE260,,
CSE320,,
CSE321,CSE221,
CSE330,MAT120,
CSE331,CSE221,
CSE340,CSE260,
CSE341,CSE260,
CSE350,CSE251,CSE260
CSE360,CSE341,
CSE370,CSE221,
CSE420,CSE331,
CSE421,CSE320,
CSE422,CSE221,
CSE423,MAT215,
CSE460,CSE350,
CSE461,,
CSE470,,
CSE471,,
ENG101,,
ENG102,ENG101,
EMB101,,
HUM103,,
MAT110,,
MAT120,MAT110,
MAT215,MAT120,
MAT216,MAT120,
PHY111,,
PHY112,PHY111,
STA201,,
